,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Proximates Fiber, total dietary g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Sodium, Na mg","Vitamins Vitamin C, total ascorbic acid mg","Lipids Fatty acids, total saturated g",Lipids 12:0 g,Lipids 14:0 g,Lipids 16:0 g,Lipids 18:0 g,"Lipids Fatty acids, total monounsaturated g",Lipids 16:1 undifferentiated g,Lipids 18:1 undifferentiated g,"Lipids Fatty acids, total polyunsaturated g",Lipids 18:2 undifferentiated g,Lipids 18:3 undifferentiated g,Lipids 20:4 undifferentiated g,Lipids Cholesterol mg
"Beef_loin_top_sirloin_petite_roastslashfilet_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",72.28,132.0,551.0,23.03,4.4,1.04,0.0,0.0,5.0,2.23,65.0,0.0,1.392,0.002,0.09,0.812,0.443,1.917,0.117,1.751,0.143,0.115,0.006,0.021,68.0
"Beef_flank_steak_separable_lean_only_trimmed_to_0""_fat_choice_raw",68.72,149.0,625.0,21.72,6.29,0.99,0.0,0.0,28.0,1.62,57.0,0.0,2.612,0.008,0.178,1.682,0.736,2.477,0.211,2.257,0.259,0.152,0.059,0.034,69.0
"Beef_rib_eye_small_end_(ribs_10-12)_separable_lean_only_trimmed_to_0""_fat_select_raw",71.33,149.0,625.0,21.17,6.57,0.93,0.0,0.0,10.0,1.94,52.0,0.0,2.65,0.008,0.204,1.57,0.868,2.771,0.219,2.552,0.189,0.159,0.015,0.015,60.0
"Beef_loin_top_loin_steak_boneless_lip-on_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",71.68,135.0,565.0,23.3,4.66,1.04,0.0,0.0,14.0,1.73,47.0,0.0,2.09,0.004,0.132,1.199,0.658,2.355,0.169,2.113,0.363,0.288,0.008,0.041,62.0
"Beef_top_sirloin_steak_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",72.51,135.0,566.0,21.91,4.62,1.09,0.0,0.0,28.0,1.63,57.0,0.0,1.709,0.0,0.117,1.026,0.566,1.86,0.143,1.715,0.214,0.161,0.01,0.029,61.0
"Beef_loin_tenderloin_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",71.7,147.0,615.0,21.72,6.67,1.1,0.0,0.0,14.0,2.49,44.0,0.0,2.363,0.005,0.154,1.3,0.792,2.578,0.182,2.298,0.454,0.353,0.013,0.056,61.0
"Beef_loin_tenderloin_roast_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",73.04,135.0,563.0,22.16,5.1,1.1,0.0,0.0,14.0,2.48,42.0,0.0,1.706,0.004,0.108,0.919,0.591,1.799,0.118,1.615,0.375,0.283,0.011,0.051,62.0
"Beef_rib_small_end_(ribs_10-12)_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",60.11,263.0,1101.0,19.09,20.13,0.9,0.0,0.0,24.0,1.38,48.0,0.0,8.121,0.043,0.636,4.889,2.488,8.617,0.981,7.607,0.766,0.493,0.241,0.032,80.0
"Beef_chuck_shoulder_clod_top_blade_steak_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",70.0,182.0,762.0,18.75,11.33,0.88,0.0,0.0,5.0,2.23,74.0,0.0,4.186,0.0,0.307,2.448,1.281,4.408,0.299,4.027,0.463,0.397,0.016,0.05,65.0
"Beef_plate_steak_boneless_outside_skirt_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",62.64,238.0,996.0,17.69,18.44,0.88,0.35,0.0,6.0,3.35,65.0,0.0,7.426,0.009,0.454,3.816,2.805,8.126,0.473,7.317,0.907,0.749,0.029,0.078,71.0
Beef_Australian_imported_Wagyu_loin_top_loin_steakslashroast_boneless_separable_lean_only_Aust._marble_score_9_raw,53.09,331.0,1383.0,16.92,29.15,0.71,0.13,0.0,4.0,1.71,68.0,0.0,10.309,0.018,0.799,6.59,2.55,15.368,1.307,13.668,1.079,0.943,0.077,0.039,61.0
"Beef_rib_eye_steak_boneless_lip_off_separable_lean_only_trimmed_to_0""_fat_select_raw",71.0,142.0,594.0,22.46,5.78,1.0,0.0,0.0,5.0,1.8,55.0,0.0,2.313,0.002,0.141,1.302,0.759,2.83,0.178,2.528,0.396,0.314,0.003,0.056,70.0
"Beef_shoulder_pot_roast_or_steak_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",72.95,125.0,525.0,21.45,4.35,1.14,0.11,0.0,12.0,2.69,74.0,0.0,1.709,0.0,0.104,0.96,0.588,2.199,0.155,1.974,0.297,0.241,0.001,0.053,64.0
"Beef_ribeye__petite_roastslashfilet_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",71.57,133.0,555.0,22.66,4.66,1.06,0.04,0.0,5.0,2.28,66.0,0.0,1.683,0.002,0.115,1.011,0.491,2.164,0.126,1.972,0.191,0.15,0.009,0.031,65.0
"Beef_tenderloin_steak_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",70.62,153.0,641.0,22.12,6.52,1.06,0.0,0.0,24.0,1.6,56.0,0.0,2.412,0.0,0.165,1.448,0.799,2.624,0.202,2.419,0.282,0.227,0.015,0.04,65.0
Beef_ground_75%_lean_meat_slash_25%_fat_raw,58.09,293.0,1225.0,15.76,25.0,0.77,0.0,0.0,21.0,1.79,66.0,0.0,9.568,0.017,0.759,5.405,2.924,11.383,0.914,1.5,0.609,0.498,0.074,0.035,75.0
"Beef_round_eye_of_round_roast_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",73.43,121.0,506.0,23.37,3.04,1.1,0.0,0.0,13.0,1.45,53.0,0.0,1.086,0.002,0.07,0.631,0.335,1.266,0.098,1.116,0.233,0.162,0.006,0.036,60.0
Beef_Australian_imported_Wagyu_rib_small_end_rib_steakslashroast_boneless_separable_lean_and_fat_Aust._marble_score_4slash5_raw,54.63,317.0,1327.0,17.07,27.64,0.78,0.0,0.0,4.0,1.68,52.0,0.0,10.329,0.017,0.748,6.039,3.046,13.685,1.001,12.389,0.763,0.647,0.059,0.035,76.0
"Beef_round_bottom_round_roast_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",72.58,128.0,534.0,22.19,4.31,1.09,0.0,0.0,20.0,1.92,59.0,0.0,1.476,0.0,0.101,0.936,0.439,1.816,0.178,1.636,0.185,0.145,0.01,0.03,61.0
"Beef_round_eye_of_round_roast_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",72.89,128.0,536.0,22.88,3.38,1.1,0.0,0.0,20.0,2.12,57.0,0.0,1.158,0.0,0.08,0.734,0.344,1.425,0.139,1.284,0.159,0.113,0.008,0.024,60.0
Beef_Australian_imported_grass-fed_loin_top_loin_steakslashroast_boneless_separable_lean_only_raw,72.95,131.0,548.0,21.79,4.87,1.01,0.0,0.0,5.0,1.57,66.0,0.0,2.09,0.005,0.131,1.239,0.623,2.067,0.153,1.877,0.225,0.125,0.029,0.034,41.0
Beef_New_Zealand_imported_flat_separable_lean_and_fat_raw,68.68,177.0,741.0,20.57,10.55,0.89,0.0,0.0,5.0,1.84,49.0,0.0,3.847,0.006,0.211,1.985,1.478,3.894,0.345,3.469,0.38,0.19,0.092,0.027,58.0
"Beef_rib_small_end_(ribs_10-12)_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",71.28,148.0,618.0,22.12,5.91,1.08,0.0,0.0,28.0,1.63,57.0,0.0,2.183,0.0,0.149,1.311,0.723,2.376,0.183,2.19,0.256,0.206,0.013,0.037,68.0
"Beef_rib_large_end_(ribs_6-9)_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",53.0,333.0,1393.0,16.03,29.34,0.75,0.0,0.0,8.0,1.68,54.0,0.0,12.13,0.07,0.97,7.29,3.7,12.56,1.49,11.02,1.07,0.68,0.36,0.03,72.0
Beef_New_Zealand_imported_intermuscular_fat_raw,29.04,602.0,2518.0,6.97,63.78,0.2,0.01,0.0,11.0,0.76,32.0,0.0,28.5,0.05,1.37,11.41,14.42,17.893,0.933,16.75,1.338,0.818,0.45,0.0,104.0
"Beef_short_loin_porterhouse_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",64.12,218.0,914.0,20.36,14.58,0.93,0.0,0.0,19.0,1.91,52.0,0.0,6.171,0.011,0.423,3.422,2.051,6.836,0.508,6.064,0.689,0.585,0.027,0.041,61.0
"Beef_composite_of_trimmed_retail_cuts_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",69.03,169.0,706.0,20.95,9.3,1.0,0.05,0.0,13.0,2.04,61.0,0.0,3.845,0.006,0.265,2.143,1.295,4.365,0.319,3.904,0.532,0.449,0.026,0.04,65.0
"Beef_round_eye_of_round_roast_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",73.18,124.0,518.0,23.35,3.38,1.1,0.0,0.0,13.0,1.47,52.0,0.0,1.137,0.002,0.072,0.666,0.346,1.353,0.107,1.191,0.248,0.176,0.007,0.038,58.0
"Beef_round_top_round_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",69.04,166.0,693.0,22.06,7.93,1.1,0.0,0.0,21.0,1.85,60.0,0.0,3.123,0.017,0.243,1.906,0.932,3.428,0.404,3.013,0.303,0.197,0.09,0.016,69.0
"Beef_short_loin_top_loin_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_all_grades_raw",63.43,228.0,953.0,20.61,15.49,0.9,0.0,0.0,24.0,1.47,52.0,0.0,6.251,0.033,0.49,3.763,1.915,6.633,0.755,5.855,0.589,0.379,0.185,0.025,81.0
Beef_Australian_imported_Wagyu_rib_small_end_rib_steakslashroast_boneless_separable_lean_and_fat_Aust._marble_score_9_raw,46.27,405.0,1693.0,14.54,38.3,0.61,0.42,0.0,3.0,1.82,57.0,0.0,13.942,0.021,1.056,8.647,3.687,19.576,1.499,17.568,1.153,0.999,0.089,0.038,82.0
"Beef_chuck_under_blade_center_steak_boneless_Denver_Cut_separable_lean_only_trimmed_to_0""_fat_select_raw",70.62,157.0,655.0,19.71,8.54,0.92,0.21,0.0,11.0,2.43,77.0,0.0,3.449,0.0,0.222,1.884,1.227,4.048,0.261,3.653,0.452,0.393,0.013,0.046,68.0
Beef_chuck_for_stew_separable_lean_and_fat_all_grades_raw,72.51,128.0,535.0,21.75,4.48,1.11,0.16,0.0,13.0,2.12,80.0,0.0,1.86,0.0,0.113,1.022,0.665,2.32,0.159,2.091,0.3,0.247,0.004,0.047,64.0
"Beef_top_loin_petite_roastslashfilet_boneless_separable_lean_only_trimmed_to_1slash8""_fat_all_grades_raw",70.59,143.0,598.0,22.61,5.84,1.0,0.0,0.0,5.0,2.17,60.0,0.0,2.1,0.003,0.132,1.171,0.721,2.545,0.158,2.302,0.208,0.161,0.009,0.036,69.0
"Beef_chuck_short_ribs_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",69.33,169.0,708.0,19.68,10.02,0.91,0.05,0.0,12.0,2.45,85.0,0.0,4.312,0.0,0.269,2.352,1.536,5.278,0.325,4.776,0.426,0.368,0.016,0.041,76.0
"Beef_composite_of_trimmed_retail_cuts_separable_lean_only_trimmed_to_0""_fat_choice_raw",70.24,151.0,633.0,21.55,7.24,1.01,0.0,0.0,14.0,2.16,66.0,0.0,2.755,0.002,0.176,1.58,0.903,3.406,0.237,3.023,0.353,0.277,0.013,0.043,66.0
"Beef_round_top_round_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",72.35,127.0,531.0,23.49,3.66,1.12,0.0,0.0,13.0,2.35,56.0,0.0,1.424,0.003,0.087,0.82,0.453,1.678,0.122,1.493,0.247,0.179,0.006,0.035,62.0
"Beef_round_top_round_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_select_raw",73.08,120.0,501.0,23.49,2.85,1.12,0.0,0.0,13.0,2.34,54.0,0.0,1.082,0.002,0.062,0.607,0.362,1.185,0.079,1.067,0.225,0.158,0.004,0.036,63.0
"Beef_chuck_shoulder_clod_shoulder_top_and_center_steaks_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",72.51,141.0,592.0,20.67,5.88,0.9,0.0,0.0,4.0,2.31,60.0,0.0,1.985,0.0,0.143,1.19,0.577,2.937,0.165,1.993,0.397,0.261,0.004,0.049,57.0
"Beef_composite_of_trimmed_retail_cuts_separable_lean_only_trimmed_to_1slash8""_fat_choice_raw",71.22,147.0,615.0,22.01,6.05,1.04,0.0,0.0,18.0,1.91,55.0,0.0,2.222,0.002,0.143,1.295,0.72,2.566,0.189,2.315,0.307,0.24,0.01,0.041,62.0
"Beef_rib_large_end_(ribs_6-9)_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",56.35,295.0,1234.0,16.52,24.85,0.77,0.0,0.0,8.0,1.74,56.0,0.0,10.28,0.06,0.82,6.18,3.13,10.65,1.27,9.34,0.91,0.57,0.31,0.02,70.0
"Beef_loin_top_sirloin_cap_steak_boneless_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",66.5,199.0,834.0,19.7,13.4,0.9,0.0,0.0,6.0,2.4,80.0,0.0,5.079,0.01,0.319,2.925,1.67,7.083,0.476,6.351,0.433,0.373,0.022,0.037,68.0
"Beef_chuck_eye_steak_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",63.98,227.0,950.0,18.86,16.85,0.84,0.0,0.0,14.0,2.1,66.0,0.0,7.176,0.0,0.495,3.825,2.632,7.978,0.483,7.233,0.65,0.573,0.032,0.036,68.0
"Beef_round_top_round_steak_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",73.4,116.0,487.0,23.59,2.45,1.12,0.0,0.0,13.0,2.34,55.0,0.0,0.92,0.002,0.05,0.519,0.308,1.003,0.064,0.908,0.21,0.145,0.003,0.036,63.0
"Beef_loin_top_sirloin_petite_roastslashfilet_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",73.27,122.0,512.0,23.05,3.35,1.07,0.0,0.0,5.0,2.39,58.0,0.0,1.125,0.001,0.068,0.649,0.367,1.384,0.089,1.258,0.096,0.073,0.005,0.016,69.0
"Beef_plate_steak_boneless_inside_skirt_separable_lean_and_fat_trimmed_to_0""_fat_all_grades_raw",67.25,187.0,782.0,20.38,11.71,0.92,0.0,0.0,6.0,1.71,64.0,0.0,4.626,0.007,0.309,2.542,1.558,5.431,0.398,4.795,0.548,0.449,0.015,0.052,65.0
"Beef_rib_small_end_(ribs_10-12)_separable_lean_and_fat_trimmed_to_1slash8""_fat_select_raw",62.0,246.0,1029.0,19.56,18.0,0.89,0.0,0.0,22.0,1.4,49.0,0.0,7.264,0.039,0.569,4.373,2.225,7.708,0.878,6.804,0.685,0.441,0.215,0.029,85.0
"Beef_short_loin_t-bone_steak_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",63.43,228.0,955.0,20.0,15.83,0.91,0.0,0.0,21.0,1.64,35.0,0.0,6.684,0.012,0.46,3.686,2.24,7.312,0.547,6.491,0.72,0.614,0.029,0.04,62.0
Beef_ground_80%_lean_meat_slash_20%_fat_raw,61.87,254.0,1062.0,17.17,20.0,0.84,0.0,0.0,18.0,1.94,66.0,0.0,7.581,0.014,0.592,4.279,2.362,8.848,0.724,1.18,0.521,0.42,0.065,0.035,71.0
"Beef_chuck_eye_Country-Style_ribs_boneless_separable_lean_only_trimmed_to_0""_fat_select_raw",72.11,137.0,575.0,21.1,5.89,0.99,0.0,0.0,15.0,2.08,82.0,0.0,2.57,0.0,0.162,1.41,0.906,2.95,0.177,2.681,0.32,0.279,0.011,0.029,71.0
"Beef_brisket_flat_half_boneless_separable_lean_only_trimmed_to_0""_fat_all_grades_raw",72.7,132.0,552.0,21.47,5.11,1.03,0.0,0.0,13.0,2.06,83.0,0.0,1.844,0.0,0.125,1.113,0.551,2.728,0.237,2.393,0.253,0.211,0.0,0.042,67.0
"Beef_rib_eye_steakslashroast_boneless_lip-on_separable_lean_and_fat_trimmed_to_1slash8""_fat_choice_raw",60.9,253.0,1059.0,18.39,19.95,0.87,0.0,0.0,8.0,1.81,50.0,0.0,8.741,0.015,0.581,4.639,3.077,9.322,0.609,8.372,0.932,0.809,0.027,0.058,68.0
"Beef_round_top_round_roast_boneless_separable_lean_and_fat_trimmed_to_0""_fat_choice_raw",72.24,128.0,536.0,23.46,3.81,1.12,0.0,0.0,13.0,2.35,56.0,0.0,1.488,0.003,0.092,0.855,0.475,1.748,0.128,1.555,0.253,0.184,0.006,0.035,62.0
"Beef_chuck_eye_steak_boneless_separable_lean_only_trimmed_to_0""_fat_choice_raw",69.48,160.0,669.0,21.31,8.29,0.92,0.0,0.0,15.0,2.27,70.0,0.0,3.605,0.0,0.214,1.96,1.317,4.088,0.248,3.715,0.359,0.308,0.014,0.037,66.0
"Beef_composite_of_trimmed_retail_cuts_separable_lean_only_trimmed_to_1slash8""_fat_select_raw",72.47,130.0,546.0,22.37,4.55,1.07,0.0,0.0,17.0,1.81,58.0,0.0,1.664,0.002,0.109,0.973,0.533,1.932,0.145,1.739,0.243,0.188,0.007,0.034,62.0
