,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg",Vitamins Thiamin mg,Vitamins Riboflavin mg,Vitamins Niacin mg,Vitamins Vitamin D (D2 + D3) µg,Vitamins Vitamin D IU
Beans_fava_in_pod_raw,72.6,88.0,368.0,7.92,0.73,1.12,17.63,37.0,1.55,129.0,332.0,25.0,0.133,0.29,2.249,0.0,0.0
Soybeans_mature_seeds_sprouted_raw,69.05,122.0,510.0,13.09,6.7,1.59,9.57,67.0,2.1,164.0,484.0,14.0,0.34,0.118,1.148,0.0,0.0
Balsam-pear_(bitter_gourd)_pods_raw,94.03,17.0,71.0,1.0,0.17,1.1,3.7,19.0,0.43,31.0,296.0,5.0,0.04,0.04,0.4,0.0,0.0
Potatoes_white_flesh_and_skin_raw,81.58,69.0,288.0,1.68,0.1,0.94,15.71,9.0,0.52,62.0,407.0,16.0,0.071,0.034,1.066,0.0,0.0
Peppers_sweet_green_raw,93.89,20.0,84.0,0.86,0.17,0.43,4.64,10.0,0.34,20.0,175.0,3.0,0.057,0.028,0.48,0.0,0.0
Squash_winter_spaghetti_raw,91.6,31.0,130.0,0.64,0.57,0.28,6.91,23.0,0.31,12.0,108.0,17.0,0.037,0.018,0.95,0.0,0.0
Broccoli_chinese_raw,92.55,30.0,127.0,1.2,0.76,0.83,4.67,105.0,0.59,43.0,274.0,7.0,0.1,0.153,0.459,0.0,0.0
Yambean_(jicama)_raw,90.07,38.0,159.0,0.72,0.09,0.3,8.82,12.0,0.6,18.0,150.0,4.0,0.02,0.029,0.2,0.0,0.0
Broccoli_stalks_raw,90.69,28.0,117.0,2.98,0.35,0.92,5.24,48.0,0.88,66.0,325.0,27.0,0.065,0.119,0.638,0.0,0.0
Eppaw_raw,60.0,150.0,628.0,4.6,1.8,1.92,31.68,110.0,1.15,165.0,340.0,12.0,0.11,0.12,0.3,0.0,0.0
Sesbania_flower_raw,91.58,27.0,113.0,1.28,0.04,0.38,6.73,19.0,0.84,30.0,184.0,15.0,0.083,0.081,0.43,0.0,0.0
Burdock_root_raw,80.09,72.0,302.0,1.53,0.15,0.89,17.34,41.0,0.8,51.0,308.0,5.0,0.01,0.03,0.3,0.0,0.0
Peppers_serrano_raw,90.25,32.0,134.0,1.74,0.44,0.87,6.7,11.0,0.86,40.0,305.0,10.0,0.054,0.081,1.537,0.0,0.0
Taro_tahitian_raw,87.96,44.0,184.0,2.79,0.97,1.38,6.91,129.0,1.3,45.0,606.0,50.0,0.062,0.244,0.995,0.0,0.0
Pumpkin_raw,91.6,26.0,109.0,1.0,0.1,0.8,6.5,21.0,0.8,44.0,340.0,1.0,0.05,0.11,0.6,0.0,0.0
Mountain_yam_hawaii_raw,81.44,67.0,280.0,1.34,0.1,0.82,16.3,26.0,0.44,34.0,418.0,13.0,0.102,0.019,0.481,0.0,0.0
Turnips_raw,91.87,28.0,117.0,0.9,0.1,0.7,6.43,30.0,0.3,27.0,191.0,67.0,0.04,0.03,0.4,0.0,0.0
Seaweed_irishmoss_raw,81.34,49.0,205.0,1.51,0.16,4.7,12.29,72.0,8.9,157.0,63.0,67.0,0.015,0.466,0.593,0.0,0.0
Drumstick_leaves_raw,78.66,64.0,268.0,9.4,1.4,2.26,8.28,185.0,4.0,112.0,337.0,9.0,0.257,0.66,2.22,0.0,0.0
Peas_green_raw,78.86,81.0,339.0,5.42,0.4,0.87,14.45,25.0,1.47,108.0,244.0,5.0,0.266,0.132,2.09,0.0,0.0
Watercress_raw,95.11,11.0,46.0,2.3,0.1,1.2,1.29,120.0,0.2,60.0,330.0,41.0,0.09,0.12,0.2,0.0,0.0
Taro_shoots_raw,95.82,11.0,46.0,0.92,0.09,0.85,2.32,12.0,0.6,28.0,332.0,1.0,0.04,0.05,0.8,0.0,0.0
Turnip_greens_raw,89.67,32.0,132.0,1.5,0.3,1.4,7.13,190.0,1.1,42.0,296.0,40.0,0.07,0.1,0.6,0.0,0.0
Purslane_raw,92.86,20.0,84.0,2.03,0.36,1.36,3.39,65.0,1.99,44.0,494.0,45.0,0.047,0.112,0.48,0.0,0.0
Cress_garden_raw,89.4,32.0,134.0,2.6,0.7,1.8,5.5,81.0,1.3,76.0,606.0,14.0,0.08,0.26,1.0,0.0,0.0
Taro_leaves_raw,85.66,42.0,177.0,4.98,0.74,1.92,6.7,107.0,2.25,60.0,648.0,3.0,0.209,0.456,1.513,0.0,0.0
Jerusalem-artichokes_raw,78.01,73.0,304.0,2.0,0.01,2.54,17.44,14.0,3.4,78.0,429.0,4.0,0.2,0.06,1.3,0.0,0.0
Hyacinth-beans_immature_seeds_raw,87.87,46.0,192.0,2.1,0.2,0.64,9.19,50.0,0.74,49.0,252.0,2.0,0.077,0.092,0.52,0.0,0.0
Dandelion_greens_raw,85.6,45.0,188.0,2.7,0.7,1.8,9.2,187.0,3.1,66.0,397.0,76.0,0.19,0.26,0.806,0.0,0.0
Celery_raw,95.43,16.0,67.0,0.69,0.17,0.75,2.97,40.0,0.2,24.0,260.0,80.0,0.021,0.057,0.32,0.0,0.0
Lambsquarters_raw,84.3,43.0,180.0,4.2,0.8,3.4,7.3,309.0,1.2,72.0,452.0,43.0,0.16,0.44,1.2,0.0,0.0
Radicchio_raw,93.14,23.0,96.0,1.43,0.25,0.7,4.48,19.0,0.57,40.0,302.0,22.0,0.016,0.028,0.255,0.0,0.0
Winged_bean_tuber_raw,57.4,148.0,619.0,11.6,0.9,2.0,28.1,30.0,2.0,45.0,586.0,35.0,0.379,0.149,1.64,0.0,0.0
Beans_navy_mature_seeds_sprouted_raw,79.15,67.0,280.0,6.15,0.7,0.95,13.05,15.0,1.93,100.0,307.0,13.0,0.39,0.215,1.22,0.0,0.0
Shallots_raw,79.8,72.0,301.0,2.5,0.1,0.8,16.8,37.0,1.2,60.0,334.0,12.0,0.06,0.02,0.2,0.0,0.0
Fireweed_leaves_raw,70.78,103.0,431.0,4.71,2.75,2.54,19.22,429.0,2.4,108.0,494.0,34.0,0.033,0.137,4.674,0.0,0.0
Broccoli_leaves_raw,90.69,28.0,118.0,2.98,0.35,0.92,5.06,48.0,0.88,66.0,325.0,27.0,0.065,0.119,0.638,0.0,0.0
Beet_greens_raw,91.02,22.0,92.0,2.2,0.13,2.33,4.33,117.0,2.57,41.0,762.0,226.0,0.1,0.22,0.4,0.0,0.0
Chicory_greens_raw,92.0,23.0,96.0,1.7,0.3,1.3,4.7,100.0,0.9,47.0,420.0,45.0,0.06,0.1,0.5,0.0,0.0
Squash_winter_acorn_raw,87.78,40.0,167.0,0.8,0.1,0.9,10.42,33.0,0.7,36.0,347.0,3.0,0.14,0.01,0.7,0.0,0.0
Garlic_raw,58.58,149.0,623.0,6.36,0.5,1.5,33.06,181.0,1.7,153.0,401.0,17.0,0.2,0.11,0.7,0.0,0.0
Mushroom_white_exposed_to_ultraviolet_light_raw,92.45,22.0,93.0,3.09,0.34,0.85,3.26,3.0,0.5,86.0,318.0,5.0,0.081,0.402,3.607,26.2,1046.0
Beans_snap_green_raw,90.32,31.0,131.0,1.83,0.22,0.66,6.97,37.0,1.03,38.0,211.0,6.0,0.082,0.104,0.734,0.0,0.0
Leeks_(bulb_and_lower_leaf-portion)_raw,83.0,61.0,255.0,1.5,0.3,1.05,14.15,59.0,2.1,35.0,180.0,20.0,0.06,0.03,0.4,0.0,0.0
