,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg","Minerals Iron, Fe mg","Minerals Magnesium, Mg mg","Minerals Phosphorus, P mg","Minerals Potassium, K mg","Minerals Sodium, Na mg","Minerals Zinc, Zn mg","Minerals Copper, Cu mg","Lipids Fatty acids, total saturated g","Lipids Fatty acids, total monounsaturated g","Lipids Fatty acids, total polyunsaturated g",Lipids Cholesterol mg
Mollusks_whelk_unspecified_raw,66.0,137.0,573.0,23.84,0.4,2.0,7.76,57.0,5.03,86.0,141.0,347.0,206.0,1.63,1.03,0.031,0.028,0.023,65.0
Fish_drum_freshwater_raw,77.33,119.0,498.0,17.54,4.93,1.08,0.0,60.0,0.9,30.0,180.0,275.0,75.0,0.66,0.232,1.119,2.19,1.154,64.0
Fish_cod_Atlantic_raw,81.22,82.0,343.0,17.81,0.67,1.16,0.0,16.0,0.38,32.0,203.0,413.0,54.0,0.45,0.028,0.131,0.094,0.231,43.0
Fish_salmon_Atlantic_farmed_raw,64.89,208.0,871.0,20.42,13.42,1.13,0.0,9.0,0.34,27.0,240.0,363.0,59.0,0.36,0.045,3.05,3.77,3.886,55.0
Fish_pollock_Atlantic_raw,78.18,92.0,385.0,19.44,0.98,1.41,0.0,60.0,0.46,67.0,221.0,356.0,86.0,0.47,0.05,0.135,0.112,0.483,71.0
Fish_trout_rainbow_farmed_raw,73.8,141.0,589.0,19.94,6.18,1.21,0.0,25.0,0.31,25.0,226.0,377.0,51.0,0.45,0.046,1.383,1.979,1.507,59.0
Fish_butterfish_raw,74.13,146.0,611.0,17.28,8.02,1.2,0.0,22.0,0.5,25.0,240.0,375.0,89.0,0.77,0.054,3.38,3.38,0.59,65.0
Fish_yellowtail_mixed_species_raw,74.52,146.0,611.0,23.14,5.24,1.09,0.0,23.0,0.49,30.0,157.0,420.0,39.0,0.52,0.045,1.28,1.99,1.42,55.0
Frog_legs_raw,81.9,73.0,305.0,16.4,0.3,1.4,0.0,18.0,1.5,20.0,147.0,285.0,58.0,1.0,0.25,0.076,0.053,0.102,50.0
Fish_trout_mixed_species_raw,71.42,148.0,619.0,20.77,6.61,1.17,0.0,43.0,1.5,22.0,245.0,361.0,52.0,0.66,0.188,1.149,3.254,1.499,58.0
Fish_roughy_orange_raw,75.67,76.0,320.0,16.41,0.7,1.08,0.0,9.0,1.01,17.0,107.0,167.0,72.0,0.23,0.075,0.015,0.239,0.109,60.0
Fish_sucker_white_raw,79.71,92.0,385.0,16.76,2.32,1.46,0.0,70.0,1.3,30.0,210.0,380.0,40.0,0.75,0.195,0.452,0.706,0.807,41.0
Crustaceans_crayfish_mixed_species_wild_raw,82.24,77.0,322.0,15.97,0.95,1.34,0.0,27.0,0.84,27.0,256.0,302.0,58.0,1.3,0.419,0.159,0.174,0.293,114.0
Crustaceans_crab_blue_raw,79.02,87.0,364.0,18.06,1.08,1.81,0.04,89.0,0.74,34.0,229.0,329.0,293.0,3.54,0.669,0.222,0.192,0.387,78.0
Crustaceans_shrimp_mixed_species_raw_(may_have_been_previously_frozen),83.01,71.0,297.0,13.61,1.01,1.86,0.91,54.0,0.21,22.0,244.0,113.0,566.0,0.97,0.182,0.261,0.181,0.295,126.0
Fish_trout_rainbow_wild_raw,71.87,119.0,498.0,20.48,3.46,1.31,0.0,67.0,0.7,31.0,271.0,481.0,31.0,1.08,0.109,0.722,1.129,1.237,59.0
Mollusks_mussel_blue_raw,80.58,86.0,360.0,11.9,2.24,1.59,3.69,26.0,3.95,34.0,197.0,320.0,286.0,1.6,0.094,0.425,0.507,0.606,28.0
Fish_swordfish_raw,73.38,144.0,602.0,19.66,6.65,1.44,0.0,5.0,0.38,29.0,255.0,418.0,81.0,0.66,0.039,1.602,2.971,1.147,66.0
Fish_cod_Pacific_raw_(not_previously_frozen),81.86,72.0,301.0,17.54,0.2,1.19,0.0,23.0,0.17,28.0,180.0,329.0,109.0,0.35,0.022,0.039,0.051,0.081,46.0
Fish_pollock_Alaska_raw_(may_have_been_previously_frozen),86.75,56.0,233.0,12.19,0.41,1.36,0.0,15.0,0.22,16.0,284.0,160.0,333.0,0.31,0.031,0.124,0.079,0.195,46.0
Crustaceans_crayfish_mixed_species_farmed_raw,84.05,72.0,301.0,14.85,0.97,1.0,0.0,25.0,0.55,30.0,218.0,261.0,62.0,1.01,0.237,0.163,0.178,0.313,107.0
