,Proximates Water g,Proximates Energy kcal,Proximates Energy kJ,Proximates Protein g,Proximates Total lipid (fat) g,Proximates Ash g,"Proximates Carbohydrate, by difference g","Minerals Calcium, Ca mg"
Lamb_New_Zealand_imported_leg_chop_slash_steak_bone-in_separable_lean_and_fat_raw,66.75,206.0,861.0,18.64,14.52,0.95,0.13,10.0
"Lamb_domestic_shoulder_arm_separable_lean_only_trimmed_to_1_slash_4""_fat_choice_raw",74.14,132.0,552.0,19.99,5.2,1.07,0.0,12.0
Lamb_New_Zealand_imported_brains_raw,78.52,118.0,492.0,11.33,8.03,2.52,0.0,4.0
Veal_variety_meats_and_by-products_tongue_raw,74.53,131.0,548.0,17.18,5.48,0.89,1.91,7.0
Lamb_variety_meats_and_by-products_pancreas_raw,73.77,152.0,636.0,14.84,9.82,1.4,0.0,8.0
Lamb_New_Zealand_imported_neck_chops_separable_lean_and_fat_raw,64.7,231.0,968.0,17.43,17.9,0.88,0.14,20.0
"Game_meat_bison_top_sirloin_separable_lean_only_trimmed_to_0""_fat_raw",74.4,113.0,473.0,21.4,2.4,1.2,0.0,5.0
"Lamb_Australian_imported_fresh_loin_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",66.8,203.0,849.0,19.32,13.38,0.88,0.0,15.0
"Lamb_domestic_leg_whole_(shank_and_sirloin)_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_choice_raw",66.38,209.0,874.0,18.47,14.42,0.97,0.0,8.0
Lamb_New_Zealand_imported_square-cut_shoulder_chops_separable_lean_and_fat_raw,61.18,275.0,1149.0,17.02,22.84,0.83,0.23,22.0
Lamb_New_Zealand_imported_hind-shank_separable_lean_only_raw,74.49,115.0,480.0,20.4,3.35,1.02,0.73,5.0
"Lamb_Australian_imported_fresh_leg_center_slice_bone-in_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",73.45,143.0,598.0,20.65,6.08,1.05,0.0,9.0
Game_meat_buffalo_water_raw,76.3,99.0,414.0,20.39,1.37,1.05,0.0,12.0
Veal_sirloin_separable_lean_and_fat_raw,71.85,152.0,636.0,19.07,7.81,1.04,0.0,11.0
Game_meat_bison_chuck_shoulder_clod_separable_lean_only_raw,75.5,119.0,496.0,21.12,3.15,0.98,0.0,5.0
"Lamb_domestic_leg_shank_half_separable_lean_and_fat_trimmed_to_1_slash_4""_fat_choice_raw",67.17,201.0,841.0,18.58,13.49,0.98,0.0,8.0
Lamb_variety_meats_and_by-products_spleen_raw,78.15,101.0,423.0,17.2,3.1,1.3,0.0,9.0
"Lamb_domestic_composite_of_trimmed_retail_cuts_separable_lean_only_trimmed_to_1_slash_4""_fat_choice_raw",73.42,134.0,561.0,20.29,5.25,1.06,0.0,10.0
Veal_loin_separable_lean_only_raw,74.79,114.0,475.0,21.85,2.9,1.04,0.0,11.0
Veal_shoulder_blade_chop_separable_lean_and_fat_raw,72.6,148.0,620.0,18.72,7.61,0.97,0.03,23.0
Veal_variety_meats_and_by-products_lungs_raw,80.5,90.0,377.0,16.3,2.3,1.1,0.0,7.0
Lamb_New_Zealand_imported_square-cut_shoulder_chops_separable_lean_only_raw,71.98,164.0,687.0,20.62,9.08,1.0,0.0,27.0
Veal_seam_fat_only_raw,44.47,444.0,1857.0,12.53,43.75,0.66,0.0,30.0
Lamb_New_Zealand_imported_loin_saddle_separable_lean_and_fat_raw,60.04,273.0,1143.0,16.56,22.9,0.83,0.2,6.0
Veal_shoulder_arm_separable_lean_only_raw,76.64,105.0,439.0,20.04,2.16,1.12,0.0,22.0
Game_meat_deer_ground_raw,71.15,157.0,658.0,21.78,7.13,0.88,0.0,11.0
Lamb_New_Zealand_imported_loin_boneless_separable_lean_and_fat_raw,74.37,122.0,509.0,21.44,3.99,1.17,0.0,4.0
"Lamb_Australian_imported_fresh_shoulder_arm_separable_lean_only_trimmed_to_1_slash_8""_fat_raw",73.95,137.0,573.0,19.88,5.81,0.95,0.0,15.0
"Lamb_Australian_imported_fresh_rib_chop_slash_rack_roast_frenched_bone-in_separable_lean_and_fat_trimmed_to_1_slash_8""_fat_raw",61.86,237.0,992.0,21.26,16.89,0.86,0.0,7.0
Lamb_variety_meats_and_by-products_heart_raw,76.71,122.0,510.0,16.47,5.68,0.93,0.21,6.0
Veal_variety_meats_and_by-products_brain_raw,79.78,118.0,494.0,10.32,8.21,1.36,0.0,10.0
